FILER_TRACK_ID	FILE	FILER_PATH	FILER_GENOME_BUILD	FILER_FILE_FORMAT	ORIGINAL ROADMAP CELL TYPE/TISSUE	NAME	CHARACTERISTIC|cultured cell	CHARACTERISTIC|Cell line name	CHARACTERISTIC|cell	CHARACTERISTIC|tissue	CHARACTERISTIC|developmental stage	CHARACTERISTIC|sequence_feature	CHARACTERISTIC|assay	CHARACTERISTIC|antibody target	CHARACTERISTIC|FILER_TISSUE_CATEGORY	CHARACTERISTIC|FILER_BIOSAMPLE_TYPE
NGRM005289	E011_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	hESC Derived CD184+ Endoderm Cultured Cells	ChromHMM 15-state model for hESC Derived CD184+ Endoderm Cultured Cells		value:hESC-CD184+	endodermal cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	Embryo	ESC derived
NGRM005290	E012_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	hESC Derived CD56+ Ectoderm Cultured Cells	ChromHMM 15-state model for hESC Derived CD56+ Ectoderm Cultured Cells		value:hESC-CD56+	ectodermal cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	Embryo	ESC derived
NGRM005291	E013_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	hESC Derived CD56+ Mesoderm Cultured Cells	ChromHMM 15-state model for hESC Derived CD56+ Mesoderm Cultured Cells		value:hESC-CD56+	mesodermal cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	Embryo	ESC derived
NGRM005292	E014_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	HUES48 Cells	ChromHMM 15-state model for HUES48 Cells		HUES48	stem cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	ESC	primary culture
NGRM005293	E015_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	HUES6 Cells	ChromHMM 15-state model for HUES6 Cells		HUES6	stem cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	ESC	primary culture
NGRM005294	E016_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	HUES64 Cells	ChromHMM 15-state model for HUES64 Cells		HUES64	stem cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	ESC	primary culture
NGRM005295	E017_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	IMR90 fetal lung fibroblasts Cell Line	ChromHMM 15-state model for IMR90 fetal lung fibroblasts Cell Line		value:IMR90	lung fibroblast	lung	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Connective Tissue	cell line
NGRM005296	E018_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	iPS-15b Cells	ChromHMM 15-state model for iPS-15b Cells		iPS-15b				enhancer	 ChIP-seq assay	value:consolidated	iPSC	primary culture
NGRM005297	E019_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	iPS-18 Cells	ChromHMM 15-state model for iPS-18 Cells		value:iPS-18				enhancer	 ChIP-seq assay	value:consolidated	iPSC	primary culture
NGRM005298	E020_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	iPS-20b Cells	ChromHMM 15-state model for iPS-20b Cells		iPS-20b				enhancer	 ChIP-seq assay	value:consolidated	iPSC	primary culture
NGRM005299	E021_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	iPS DF 6.9 Cells	ChromHMM 15-state model for iPS DF 6.9 Cells		iPS DF 6.9				enhancer	 ChIP-seq assay	value:consolidated	iPSC	primary culture
NGRM005300	E022_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	iPS DF 19.11 Cells	ChromHMM 15-state model for iPS DF 19.11 Cells		iPS DF 19.11				enhancer	 ChIP-seq assay	value:consolidated	iPSC	primary culture
NGRM005301	E023_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells	ChromHMM 15-state model for Mesenchymal Stem Cell Derived Adipocyte Cultured Cells		value:mesenchymal stem cell-derived adipocyte cell line	value:adipocyte			enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	primary culture
NGRM005302	E024_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	ES-UCSF4 Cells	ChromHMM 15-state model for ES-UCSF4 Cells		value:UCSF-4	stem cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	ESC	primary culture
NGRM005303	E025_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Adipose Derived Mesenchymal Stem Cell Cultured Cells	ChromHMM 15-state model for Adipose Derived Mesenchymal Stem Cell Cultured Cells			mesenchymal stem cell	value:adipose		enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	primary culture
NGRM005304	E026_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Bone Marrow Derived Cultured Mesenchymal Stem Cells	ChromHMM 15-state model for Bone Marrow Derived Cultured Mesenchymal Stem Cells			mesenchymal stem cell	bone marrow		enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	primary culture
NGRM005305	E027_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Breast Myoepithelial Primary Cells	ChromHMM 15-state model for Breast Myoepithelial Primary Cells			myoepithelial cell of mammary gland	breast		enhancer	 ChIP-seq assay	value:consolidated	Epithelial	primary cell
NGRM005306	E028_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Breast variant Human Mammary Epithelial Cells (vHMEC)	ChromHMM 15-state model for Breast variant Human Mammary Epithelial Cells (vHMEC)			mammary epithelial cell	breast		enhancer	 ChIP-seq assay	value:consolidated	Epithelial	primary culture
NGRM005307	E029_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary monocytes from peripheral blood	ChromHMM 15-state model for Primary monocytes from peripheral blood			CD14-positive monocyte	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005308	E030_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary neutrophils from peripheral blood	ChromHMM 15-state model for Primary neutrophils from peripheral blood			neutrophil	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005309	E031_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary B cells from cord blood	ChromHMM 15-state model for Primary B cells from cord blood			B cell	blood	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005310	E032_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary B cells from peripheral blood	ChromHMM 15-state model for Primary B cells from peripheral blood			B cell	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005311	E033_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T cells from cord blood	ChromHMM 15-state model for Primary T cells from cord blood			value:T-cell	blood	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005312	E034_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T cells from peripheral blood	ChromHMM 15-state model for Primary T cells from peripheral blood			value:T-cell	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005313	E035_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary hematopoietic stem cells	ChromHMM 15-state model for Primary hematopoietic stem cells			"common myeloid progenitor, CD34-positive"			enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	primary cell
NGRM005314	E036_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary hematopoietic stem cells short term culture	ChromHMM 15-state model for Primary hematopoietic stem cells short term culture			"common myeloid progenitor, CD34-positive"			enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	primary cell
NGRM005315	E037_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T helper memory cells from peripheral blood 2	ChromHMM 15-state model for Primary T helper memory cells from peripheral blood 2			"CD4-positive, alpha-beta memory T cell"	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005316	E038_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T helper naive cells from peripheral blood	ChromHMM 15-state model for Primary T helper naive cells from peripheral blood			CD4-positive helper T cell	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005317	E039_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T helper naive cells from peripheral blood	ChromHMM 15-state model for Primary T helper naive cells from peripheral blood			"CD4-positive, alpha-beta memory T cell"	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005318	E040_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T helper memory cells from peripheral blood 1	ChromHMM 15-state model for Primary T helper memory cells from peripheral blood 1			"CD4-positive, alpha-beta memory T cell"	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005319	E041_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T helper cells PMA-I stimulated	ChromHMM 15-state model for Primary T helper cells PMA-I stimulated			CD4-positive helper T cell			enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005320	E042_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T helper 17 cells PMA-I stimulated	ChromHMM 15-state model for Primary T helper 17 cells PMA-I stimulated			CD4-positive helper T cell			enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005321	E043_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T helper cells from peripheral blood	ChromHMM 15-state model for Primary T helper cells from peripheral blood			CD4-positive helper T cell	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005322	E044_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T regulatory cells from peripheral blood	ChromHMM 15-state model for Primary T regulatory cells from peripheral blood			"CD4-positive, CD25-positive, alpha-beta regulatory T cell"	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005323	E045_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T cells effector/memory enriched from peripheral blood	ChromHMM 15-state model for Primary T cells effector/memory enriched from peripheral blood			"CD4-positive, alpha-beta memory T cell"	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005324	E046_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary Natural Killer cells from peripheral blood	ChromHMM 15-state model for Primary Natural Killer cells from peripheral blood			natural killer cell	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005325	E047_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T CD8+ naive cells from peripheral blood	ChromHMM 15-state model for Primary T CD8+ naive cells from peripheral blood			"CD8-positive, alpha-beta T cell"	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005326	E048_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary T CD8+ memory cells from peripheral blood	ChromHMM 15-state model for Primary T CD8+ memory cells from peripheral blood			"CD8-positive, alpha-beta memory T cell"	blood		enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005327	E049_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells	ChromHMM 15-state model for Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells			chondrocyte			enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	primary culture
NGRM005328	E050_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary hematopoietic stem cells G-CSF-mobilized Female	ChromHMM 15-state model for Primary hematopoietic stem cells G-CSF-mobilized Female			"common myeloid progenitor, CD34-positive"			enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	primary cell
NGRM005329	E051_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary hematopoietic stem cells G-CSF-mobilized Male	ChromHMM 15-state model for Primary hematopoietic stem cells G-CSF-mobilized Male			"common myeloid progenitor, CD34-positive"			enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	primary cell
NGRM005330	E052_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Muscle Satellite Cultured Cells	ChromHMM 15-state model for Muscle Satellite Cultured Cells			skeletal muscle satellite cell			enhancer	 ChIP-seq assay	value:consolidated	Skeletal Muscle	primary culture
NGRM005331	E053_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Cortex derived primary cultured neurospheres	ChromHMM 15-state model for Cortex derived primary cultured neurospheres		value:neurosphere				enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	primary culture
NGRM005332	E054_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Ganglion Eminence derived primary cultured neurospheres	ChromHMM 15-state model for Ganglion Eminence derived primary cultured neurospheres		value:neurosphere				enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	primary culture
NGRM005333	E055_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Foreskin Fibroblast Primary Cells skin01	ChromHMM 15-state model for Foreskin Fibroblast Primary Cells skin01			foreskin fibroblast			enhancer	 ChIP-seq assay	value:consolidated	Connective Tissue	primary culture
NGRM005334	E056_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Foreskin Fibroblast Primary Cells skin02	ChromHMM 15-state model for Foreskin Fibroblast Primary Cells skin02			foreskin fibroblast			enhancer	 ChIP-seq assay	value:consolidated	Connective Tissue	primary culture
NGRM005335	E057_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Foreskin Keratinocyte Primary Cells skin02	ChromHMM 15-state model for Foreskin Keratinocyte Primary Cells skin02			foreskin keratinocyte			enhancer	 ChIP-seq assay	value:consolidated	Epithelial	primary culture
NGRM005336	E058_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Foreskin Keratinocyte Primary Cells skin03	ChromHMM 15-state model for Foreskin Keratinocyte Primary Cells skin03			foreskin keratinocyte			enhancer	 ChIP-seq assay	value:consolidated	Epithelial	primary culture
NGRM005337	E059_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Foreskin Melanocyte Primary Cells skin01	ChromHMM 15-state model for Foreskin Melanocyte Primary Cells skin01			foreskin melanocyte			enhancer	 ChIP-seq assay	value:consolidated	Epithelial	primary culture
NGRM005338	E061_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Foreskin Melanocyte Primary Cells skin03	ChromHMM 15-state model for Foreskin Melanocyte Primary Cells skin03			foreskin melanocyte			enhancer	 ChIP-seq assay	value:consolidated	Epithelial	primary culture
NGRM005339	E062_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Primary mononuclear cells from peripheral blood	ChromHMM 15-state model for Primary mononuclear cells from peripheral blood			foreskin melanocyte			enhancer	 ChIP-seq assay	value:consolidated	Blood	primary cell
NGRM005340	E063_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Adipose Nuclei	ChromHMM 15-state model for Adipose Nuclei				subcutaneous abdominal adipose tissue		enhancer	 ChIP-seq assay	value:consolidated	Adipose	primary tissue
NGRM005341	E065_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Aorta	ChromHMM 15-state model for Aorta				aorta		enhancer	 ChIP-seq assay	value:consolidated	Blood Vessel	primary tissue
NGRM005342	E066_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Liver	ChromHMM 15-state model for Liver				liver		enhancer	 ChIP-seq assay	value:consolidated	Liver	primary tissue
NGRM005343	E067_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Brain Angular Gyrus	ChromHMM 15-state model for Brain Angular Gyrus				angular gyrus		enhancer	 ChIP-seq assay	value:consolidated	Brain	primary tissue
NGRM005344	E068_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Brain Anterior Caudate	ChromHMM 15-state model for Brain Anterior Caudate				caudate nucleus		enhancer	 ChIP-seq assay	value:consolidated	Brain	primary tissue
NGRM005345	E069_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Brain Cingulate Gyrus	ChromHMM 15-state model for Brain Cingulate Gyrus				cingulate gyrus		enhancer	 ChIP-seq assay	value:consolidated	Brain	primary tissue
NGRM005346	E070_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Brain Germinal Matrix	ChromHMM 15-state model for Brain Germinal Matrix				value:germinal matrix		enhancer	 ChIP-seq assay	value:consolidated	Brain	primary tissue
NGRM005347	E071_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Brain Hippocampus Middle	ChromHMM 15-state model for Brain Hippocampus Middle				layer of hippocampus		enhancer	 ChIP-seq assay	value:consolidated	Brain	primary tissue
NGRM005348	E072_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Brain Inferior Temporal Lobe	ChromHMM 15-state model for Brain Inferior Temporal Lobe				temporal lobe		enhancer	 ChIP-seq assay	value:consolidated	Brain	primary tissue
NGRM005349	E073_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Brain_Dorsolateral_Prefrontal_Cortex	ChromHMM 15-state model for Brain_Dorsolateral_Prefrontal_Cortex				Brodmann (1909) area 46		enhancer	 ChIP-seq assay	value:consolidated	Brain	primary tissue
NGRM005350	E074_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Brain Substantia Nigra	ChromHMM 15-state model for Brain Substantia Nigra				substantia nigra		enhancer	 ChIP-seq assay	value:consolidated	Brain	primary tissue
NGRM005351	E075_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Colonic Mucosa	ChromHMM 15-state model for Colonic Mucosa				colonic mucosa		enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005352	E076_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Colon Smooth Muscle	ChromHMM 15-state model for Colon Smooth Muscle				muscle layer of colon		enhancer	 ChIP-seq assay	value:consolidated	Smooth Muscle	primary tissue
NGRM005353	E077_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Duodenum Mucosa	ChromHMM 15-state model for Duodenum Mucosa				duodenal mucosa		enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005354	E078_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Duodenum Smooth Muscle	ChromHMM 15-state model for Duodenum Smooth Muscle				muscle layer of duodenum		enhancer	 ChIP-seq assay	value:consolidated	Smooth Muscle	primary tissue
NGRM005355	E079_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Esophagus	ChromHMM 15-state model for Esophagus				esophagus		enhancer	 ChIP-seq assay	value:consolidated	Digestive	primary tissue
NGRM005356	E080_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Fetal Adrenal Gland	ChromHMM 15-state model for Fetal Adrenal Gland				adrenal gland	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Endocrine	primary tissue
NGRM005357	E081_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Fetal Brain Male	ChromHMM 15-state model for Fetal Brain Male				brain	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Brain	primary tissue
NGRM005358	E082_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Fetal Brain Female	ChromHMM 15-state model for Fetal Brain Female				brain	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Brain	primary tissue
NGRM005359	E083_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	Fetal Heart	ChromHMM 15-state model for Fetal Heart				heart	value:fetal stage	enhancer	 ChIP-seq assay	value:consolidated	Heart	primary tissue
