ABBREV	NAME	DISPLAY_NAME	DEFINITION	DEFINITION_SOURCE	DEFINITION_SOURCE_URL	ADDITIONAL_INFO_LINK
SNPEff_LOF_num_transcripts_affected	SNPEff LOF num transcripts affected	LOF Num Transcripts	number of transcripts affected by the SnpEff LOF consequence, relative to the Ensembl transcript set	ADSP Annotation WG File Release 2 README		
SNPEff_LOF_percent_transcripts_affected	SNPEff LOF percent transcripts affected	LOF Percent Transcripts	percent of transcripts for this gene affected by the SnpEff LOF consequence, relative to the Ensembl transript set	ADSP Annotation WG File Release 2 README		
CADD_raw_score	CADD raw score	CADD raw score	the extent to which the annotation profile for a given variant suggests that that variant is likely to be "observed" (negative values) vs "simulated" (positive values); higher values indicate that a variant is more likely to be simulated (i.e., not observed) and is therefore less likely to have deleterious effects			
CADD_phredexac_AC	CADD phred score	CADD phred score	ranked and PHRED-scaled CADD score			
exac_AC	ExAC Allele Count	Allele Count	allele count	ADSP Annotation WG File Release 2 README		
exac_AC_AFR	ExAC AFR Allele Count	AFR Allele Count	African/African American allele count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AC_AMR	ExAC AMR Allele Count	AMR Allele Count	American allele count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AC_Adj	ExAC Adjusted Allele Count	Adjusted Allele Count	adjusted allele counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AC_EAS	ExAC EAS Allele Count	EAS Allele Count	East Asian allele count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AC_FIexac_AC_Het	ExAC Adjusted Heterozygote Count	Adjusted Heterozygote Count	Adjusted Heterozygote Count	ADSP Annotation WG File Release 2 README		
exac_AC_Hom	ExAC Adjusted Homozygote Count	Adjusted Homozygote Count	Adjusted Homozygote Count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AC_NFE	ExAC NFE Allele Count	NFE Allele Count	Non-Finnish European allele count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AC_OTH	ExAC OTH Allele Count	OTH Allele Count	Other allele count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AC_SAS	ExAC SAS Allele Count	SAS Allele Count	South Asian allele count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AC_FIN	ExAC FIN Allele Count	FIN Allele Count	Finnish allele count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AF	ExAC Allele Frequency for each ALT allele	Allele Frequency for each alt allele		ADSP Annotation WG File Release 2 README		
exac_AN	ExAC Total alleles in called genotypes	Total alleles in called genotypes		ADSP Annotation WG File Release 2 README		
exac_AN_AFR	ExAC AFR chromosome count	AFR chromosome count	African/African American chromosome count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AN_AMR	ExAC AMR chromosome count	AMR chromosome count	American chromosome count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AN_Adj	ExAC Adjusted chromosome count	Adjusted chromosome count	number of chromosomes, or twice the number of individuals (maximum 2*61,486); if coverage is <80% of individuals in ExAC, the site may be low quality	MacArthur Lab: ExAC Guide	https://macarthurlab.org/2014/11/18/a-guide-to-the-exome-aggregation-consortium-exac-data-set/	
exac_AN_EAS	ExAC EAS chromosome count	EAS chromosome count	East Asian chromosome count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AN_FIN	ExAC FIN chromosome count	FIN chromosome count	Finnish chromosome count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AN_NFE	ExAC NFE chromosome count	NFE chromosome count	Non-Finnish European chromosome count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AN_OTH	ExAC OTH chromosome count	OTH chromosome count	Other chromosome count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_AN_SAS	ExAC SAS chromosome count	SAS chromosome count	South Asian chromosome count	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_BaseQRankSum	ExAC BaseQRankSum	BaseQRankSum	Z-score from Wilcoxon rank sum test of Alt Vs. Ref base qualities	GATK Documentation	https://software.broadinstitute.org/gatk/gatkdocs/org_broadinstitute_gatk_tools_walkers_annotator_BaseQualityRankSumTest.php	
exac_ClippingRankSum	ExAC ClippingRankSum	ClippingRankSum	Z-score From Wilcoxon rank sum test of Alt vs. Ref number of hard clipped bases	GATK Documentation	https://software.broadinstitute.org/gatk/gatkdocs/org_broadinstitute_gatk_tools_walkers_annotator_ClippingRankSumTest.php	
exac_DP	ExAC Approximate Read Depth	Approximate Read Depth	approximate depth of coverage per sample and over all samples	header: ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/ExAC.r0.3.sites.vep.vcf.gz		
exac_FS	ExAC Phred-scaled p-value 	Phred-scaled p-value	Phred-scaled p-value using Fisher's exact test to detect strand bias	GATK Documentation	https://software.broadinstitute.org/gatk/gatkdocs/org_broadinstitute_gatk_tools_walkers_annotator_FisherStrand.php	
exac_GQ_MEAN	ExAC GQ MEAN	GQ MEAN	mean of all gene quality (GQ) values	GATK Documentation	https://software.broadinstitute.org/gatk/documentation/tooldocs/org_broadinstitute_gatk_tools_walkers_annotator_GenotypeSummaries.php	
exac_GQ_STDDEV	ExAC GQ STDDEV	GQ STDDEV	standard deviation of all gene quality (GQ) values	GATK Documentation	https://software.broadinstitute.org/gatk/documentation/tooldocs/org_broadinstitute_gatk_tools_walkers_annotator_GenotypeSummaries.php	
exac_Het_AFR	ExAC Heterozygous AFR	Heterozygous AFR	Heterozygous African/African American counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Het_AMR	ExAC Heterozygous AMR	Heterozygous AMR	Heterozygous American counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Het_EAS	ExAC Heterozygous EAS	Heterozygous EAS	Heterozygous East Asian counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Het_FIN	ExAC Heterozygous FIN	Heterozygous FIN	Heterozygous Finish counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Het_NFE	ExAC Heterozygous NFE	Heterozygous NFE	Heterozygous Non-Finnish European counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Het_OTH	ExAC Heterozygous OTH	Heterozygous OTH	Heterozygous Other counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Het_SAS	ExAC Heterozygous SAS	Heterozygous SAS	Heterozygous South Asian counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Hom_AFR	ExAC Homozygous AFR	Homozygous AFR	Homozygous African/African American counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Hom_AMR	ExAC Homozygous AMR	Homozygous AMR	Homozygous American counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Hom_EAS	ExAC Homozygous EAS	Homozygous EAS	Homozygous East Asian counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Hom_FIN	ExAC Homozygous FIN	Homozygous FIN	Homozygous Finish counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Hom_NFE	ExAC Homozygous NFE	Homozygous NFE	Homozygous Non-Finnish European counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Hom_OTH	ExAC Homozygous OTH	Homozygous OTH	Homozygous Other counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_Hom_SAS	ExAC Homozygous SAS	Homozygous SAS	Homozygous South Asian counts	ExAC README: Population Annotations	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README..population_annotations	
exac_InbreedingCoeff	ExAC Inbreeding Coefficient	Inbreeding Coefficient	inbreeding coefficient as estimated from the genotype likelihoods per-sample when compared against the Hardy-Weinberg expectation	GATK Documentation	https://software.broadinstitute.org/gatk/gatkdocs/org_broadinstitute_gatk_tools_walkers_annotator_InbreedingCoeff.php	
exac_MQ	ExAC MQ	MQ	Root Mean Square (RMS) of the mapping quality of the reads supporting a variant call across all samples	GATK Documentation	https://software.broadinstitute.org/gatk/gatkdocs/org_broadinstitute_gatk_tools_walkers_annotator_RMSMappingQuality.php	
exac_MQ0	ExAC MQ0	MQ0	count of all reads that have MAPQ = 0 across all samples. The count of reads with MAPQ0 can be used for quality control; high counts typically indicate regions where it is difficult to make confident calls	GATK Documentation	https://software.broadinstitute.org/gatk/gatkdocs/org_broadinstitute_gatk_tools_walkers_annotator_MappingQualityZero.php	
exac_MQRankSum	ExAC MQRankSum	MQRankSum	Z-score From Wilcoxon rank sum test of Alt vs. Ref read mapping qualities; The ideal result is a value close to zero, which indicates there is little to no difference. A negative value indicates that the reads supporting the alternate allele have lower mapping quality scores than those supporting the reference allele. Conversely, a positive value indicates that the reads supporting the alternate allele have higher mapping quality scores than those supporting the reference allele.	GATK Documentation	https://software.broadinstitute.org/gatk/gatkdocs/org_broadinstitute_gatk_tools_walkers_annotator_MappingQualityRankSumTest.php	
exac_NCC	ExAC NCC	NCC	number of no-called samples	GATK Documentation	https://software.broadinstitute.org/gatk/documentation/tooldocs/org_broadinstitute_gatk_tools_walkers_annotator_GenotypeSummaries.php	
exac_NEGATIVE_TRAIN_SITE	ExAC NEGATIVE_TRAIN_SITE	NEGATIVE_TRAIN_SITE	VQSR negative training sites; chosen from variants with lowest LOD scores	GATK Documentation: Variant Quality Score Recalibration (VQSR)	https://software.broadinstitute.org/gatk/guide/article?id=39	
exac_QD	ExAC QD	QD	the QUAL score normalized by allele depth (AD), or amount of available coverage, for a variant	GATK Documentation: Variant Quality Score Recalibration (VQSR)	https://software.broadinstitute.org/gatk/guide/article?id=39	
exac_ReadPosRankSum	ExAC ReadPosRankSum	ReadPosRankSum	u-based z-approximation from the Mann-Whitney Rank Sum Test for the distance from the end of the read for reads with the alternate allele; only be applied to heterozygous calls.. If the alternate allele is only seen near the ends of reads, this is indicative of error	GATK Documentation	https://software.broadinstitute.org/gatk/gatkdocs/org_broadinstitute_gatk_tools_walkers_annotator_ReadPosRankSumTest.php	
exac_VQSLOD	ExAC variant quality score log-odds	variant quality score log-odds	VQRS recalibrated variant quality score log odds	GATK Documentation: Variant Quality Score Recalibration (VQSR)	https://software.broadinstitute.org/gatk/guide/article?id=39	https://software.broadinstitute.org/gatk/guide/article?id=39
exac_culprit	ExAC culprit	culprit	annotation which was the worst performing (furthest divergent) in the GATK Gaussian mixture model, likely the reason why the variant was filtered out	GATK Documentation		
exac_DP_HIST	ExAC DP_HIST	DP_HIST	Histogram for DP	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README.histogram_annotation		
exac_GQ_HIST	ExAC GQ_HIST	GQ_HIST	Histogram for GQ	ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3/README.histogram_annotation		
kaviar_allele_frequency	Kaviar Allele Frequency	Allele Frequency		ADSP Annotation WG File Release 2 README		
kaviar_allele_count	Kaviar Allele Count	Allele Count		ADSP Annotation WG File Release 2 README		
allele_total_over_all_datasources	Kavia Allele Total	Allele Total	Allele total over all datasources	ADSP Annotation WG File Release 2 README		
data_sources_containing_allele	Kaviar Data Sources Containing Allele	Data sources containing allele		ADSP Annotation WG File Release 2 README		
spidex_max_tissue	dpsi_max_tissue	dPSI Max Tissue	predicted change in percent-inclusion due to the variant reported, as the maximum across tissues (in percent)	ADSP Annotation WG File Release 2 README		
spidex_zscore	dpsi_max_tissue z-score	z-score	 Z-score of dpsi_max_tissue relative to the distribution of dPSI that are due to common SNPs	ADSP Annotation WG File Release 2 README		
cato_score_percentile	CATO score percentile	score percentile	computational prediction of transcription factor occupancy (ranges from 0 to 1 with 0 being no activity)	ADSP Annotation WG File Release 2 README		
cato_motif_affected	CATO motifs affected	affected motifs	a list of transcription factor motifs potentially affected by a variant	ADSP Annotation WG File Release 2 README		
cato_cell_types_affected	CATO affected cell types	affected cell types	a list of cell types with DNAse Hypersensitivity regions potentially affected by a variant	ADSP Annotation WG File Release 2 README		
present_in_wellderly_cohort	SWGR		allele Occurence in the Scripps Wellderly Genome Resource (SWGR)	ADSP Annotation WG File Release 2 README		
location	Location	BP-range	BP-range of the variant			
